"Date_entry","Region","District_ad","Address","Metro","Dist_metro_ad","Rooms","Price","Minimum_duration","No_agents","Building","Area_total","Area_living","Area_kitchen","Floor","NFloor","Lift","Furnished","Bath","Refurbished","Balcony","Latitude","Longitude","Year_construction"
"2017-06-15","Leningradskaya oblast'","Всеволожский","р-н Мурино пос., Новая ул., 7","Grajdanskii pr.",1730,"1   (studiya)",19000,"11 mes.","","Individual'nyi proekt",40,19,11,8,"17","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Lodjiya",,,2016
"2017-03-20","gorod Sankt-Peterburg","Невский","Латышских стрелков ул., 5к2","Bol'shevikov pr.",1040,"2",25000,"11 mes.","","Panel'nyi",50,30,7,12,"14","Est'","Sbornaya Sovr.","Otdel'naya","Ne trebuetsya","Lodjiya",59.929152,30.4699289,
"2017-01-26","gorod Sankt-Peterburg","Петроградский","Большой пр., 67","Petrogradskaya",310,"3",45000,"11 mes.","","Kirpichnyi",80,55,10,5,"6","Est'","Sbornaya Sovr.","Dush","Evrostandart","",59.963852,30.3100016,
"2017-02-02","gorod Sankt-Peterburg","Василеостровский","КИМа пр., 28","Primorskaya",10,"1",22000,"11 mes.","","",30,18,6,4,"5","Net","Sbor.+kuh.garn.","","Ne trebuetsya","Net",59.953711,30.2419584,
"2015-12-09","gorod Sankt-Peterburg","Красногвардейский","Индустриальный пр. 18к.1","Ladojskaya",2250,"2",21000,"31 mes.","","Kirpichnyi",52,32,10,5,"12","Net","","","","Balkon",,,
"2017-02-27","gorod Sankt-Peterburg","Петроградский","Большая Разночинная ул., 3","Chkalovskaya",230,"2",60000,"","","Kirpichnyi",70,38,12,7,"7","Est'","","","Proizveden","",59.958833,30.2932819,
"2017-06-29","Leningradskaya oblast'","Всеволожский","р-н Кудрово дер., Европейский пр., 13","",,"1",19000,"11 mes.","Da","Kirpichnyi",37,16,9,11,"22","Est'","Sbornaya Sovr.","Otdel'naya","","Zasteklennaya lodjiya",,,
"2017-06-21","gorod Sankt-Peterburg","Центральный","Новгородская ул., 23","Chernyshevskaya",790,"3",90000,"11 mes.","","Panel'nyi",94,36,38,12,"12","Est'","","","","Lodjiya",59.940661,30.391015,
"2017-02-06","gorod Sankt-Peterburg","Красносельский","Ветеранов пр., 5","Veteranov pr.",330,"3",28000,"","","Kirpichnyi",61,44,7,2,"9","Net","Net","","Ne trebuetsya","Net",59.832983,30.1933343,
"2017-05-14","gorod Sankt-Peterburg","Кировский","Стойкости ул., 17","Veteranov pr.",2630,"1",15000,"11 mes.","","Panel'nyi",36,18,8,8,"9","Est'","Sbornaya Sovr.","Sovmeshchennaya","Ne trebuetsya","Balkon",59.828418,30.2118769,
"2016-02-24","gorod Sankt-Peterburg","Московский","Кузнецовская ул. 11","Park Pobedy",760,"1",33000,"","","",43,20,10,6,"24","Net","Sbornaya Sovr.","","","",,,
"2017-04-26","gorod Sankt-Peterburg","Московский","Юрия Гагарина пр., 14к6","Park Pobedy",1300,"1",22000,"11 mes.","Da","Kirpichnyi",38,20,10,8,"18","Est'","","Sovmeshchennaya","Evrostandart","Balkon",59.861436,30.342848,
"2016-04-01","gorod Sankt-Peterburg","Невский","Октябрьская наб. 70к.4","Lomonosovskaya",1060,"2",35000,"","","",72,42,15,4,"9","Net","Sbornaya Sovr.","","","",,,
"2017-01-29","gorod Sankt-Peterburg","Центральный","Правды ул., 6","Vladimirskaya",470,"3",80000,"","","Kirpichnyi",90,56,14,4,"5","Net","","","Proizveden","",59.923743,30.344596,
"2016-04-18","gorod Sankt-Peterburg","Приморский","Новоколомяжский пр. 15","Udel'naya",2070,"1",21000,"","","",37,20,10,2,"4","Net","Sbornaya Sovr.","","Evrostandart","",60.031023,30.291973,
"2017-05-23","gorod Sankt-Peterburg","Калининский","Гражданский пр., 109к1","Grajdanskii pr.",700,"3",27000,"11 mes.","","Hrushchevka",50,35,6,1,"5","Net","","","","Net",60.028737,30.4169332,
"2016-01-26","gorod Sankt-Peterburg","Невский","Обуховской Обороны пр. 110к.1","Proletarskaya",300,"1",30000,"","","",37,15,10,20,"23","Net","Sbornaya Sovr.","","","",,,
"2016-11-30","gorod Sankt-Peterburg","Московский","Бассейная ул., 27","Park Pobedy",400,"4",70000,"","","Kirpichnyi",104,68,18,3,"7","Est'","","","Proizveden","",59.864545,30.3155418,
"2016-04-09","gorod Sankt-Peterburg","Красносельский","Марата ул. (Володарский) 21","Dostoevskaya",17600,"2",40000,"","","",70,40,9,4,"4","Net","Sbornaya Sovr.","","","",59.830124,30.099626,
"2016-01-18","gorod Sankt-Peterburg","Василеостровский","27-я Линия 16","Vasileostrovskaya",1750,"3",80000,"","","",100,35,35,9,"18","Net","Sbornaya Sovr.","","","",,,
"2017-01-25","gorod Sankt-Peterburg","Центральный","3-я Советская ул., 18","Vosstaniya pl.",60,"2",30000,"","","Kirpichnyi",35,18,9,2,"3","Net","Sbor.+kuh.garn.","","","Net",59.932953,30.3683619,
"2016-10-21","gorod Sankt-Peterburg","Московский","Ленсовета ул., 88","Zvezdnaya",100,"1",40000,"12 mes.","","Kirpichnyi",45,20,15,16,"16","Est'","Garnitur Sovr.","Otdel'naya","Proizveden","",59.832638,30.350534,
"2016-04-27","gorod Sankt-Peterburg","Московский","Алтайская ул. 21","Moskovskaya",380,"2",40000,"14 mes.","","Kirpichnyi",60,42,13,2,"5","Net","Sbor.+kuh.garn.","Otdel'naya","Evrostandart","Balkon",59.848874,30.3275745,
"2016-05-08","gorod Sankt-Peterburg","Василеостровский","Морская наб., 39к3","Primorskaya",1360,"3",70000,"","","",,105,73,,"","","","Est'","","est'",59.960354,30.228238,
"2016-10-20","gorod Sankt-Peterburg","Петроградский","Пушкарский пер., 9","Gor'kovskaya",620,"4",1e+05,"","","Kirpichnyi",110,49,36,3,"7","Est'","","Sovmeshchennaya","Proizveden","Lodjiya",59.959278,30.309535,
"2016-11-30","gorod Sankt-Peterburg","Центральный","Марата ул., 33","Vladimirskaya",270,"4",75000,"","","Kirpichnyi",110,67,8,4,"4","Net","","","Proizveden","Balkon",59.925975,30.351816,
"2016-02-17","gorod Sankt-Peterburg","Красногвардейский","Хасанская ул., 24","Ladojskaya",3260,"2",26000,"11 mes.","","Blochnyi",51,30,8,2,"9","Est'","Sbornaya Sovr.","Otdel'naya","Ne trebuetsya","",59.93717,30.4970284,
"2016-10-19","gorod Sankt-Peterburg","Василеостровский","Капитанская ул., 4","Primorskaya",1270,"4",1e+05,"11 mes.","","Individual'nyi proekt",150,94,19,10,"15","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","2 lodjii",59.95435,30.214741,
"2016-09-01","gorod Sankt-Peterburg","Василеостровский","19-я Линия, 6","Primorskaya",2630,"3",54000,"","","Kirpichnyi",63,45,10,1,"6","Net","","","Proizveden","",59.932892,30.2696085,
"2016-11-27","gorod Sankt-Peterburg","Приморский","Репищева ул.","Udel'naya",2090,"3",35000,"11 mes.","","Kirp.Monolit",60,46,9,8,"10","Est'","Minimum","","","",60.02559,30.2826067,
"2017-06-19","Leningradskaya oblast'","Всеволожский","р-н Мурино пос., Скандинавский проезд, 8к2","Devyatkino",270,"1   (studiya)",17000,"1 mes.","","Monolit",26,20,,3,"25","Est'","Garnitur Sovr.","Sovmeshchennaya","Evrostandart","Lodjiya",,,2016
"2017-06-21","gorod Sankt-Peterburg","Невский","Кржижановского ул., 3к3","Bol'shevikov pr.",290,"1",17000,"6 mes.","","137 seriya",34,18,9,7,"12","Est'","Garnitur Sovr.","Prodol'naya","Proizveden","Balkon",59.931504,30.4665122,1986
"2017-07-03","gorod Sankt-Peterburg","Московский","Дунайский пр., 5к7","Zvezdnaya",1220,"1",22000,"11 mes.","","121(Gatchinskaya)",36,18.5,8.5,3,"17","Est'","Sbor.+kuh.garn.","Prodol'naya","Proizveden","Zasteklennaya lodjiya",59.827654,30.330466,2007
"2017-03-24","gorod Sankt-Peterburg","Калининский","Карпинского ул., 38к2","Akademicheskaya",1790,"1",16000,"3 mes.","","606 seriya",31,16,8,4,"9","Est'","Minimum","Otdel'naya","Proizveden","",60.013348,30.4283277,
"2016-04-12","gorod Sankt-Peterburg","Невский","Коллонтай ул. 6к.2","Bol'shevikov pr.",1220,"1",25000,"","","",37,22,8,16,"17","Net","Sbornaya Sovr.","","","",59.915409,30.446931,
"2015-05-13","gorod Sankt-Peterburg","Приморский","Ланское ш., 14к1","Chernaya rechka",1060,"1",20000,"5 mes.","","Kirp.Monolit",35.5,14.3,8.6,4,"25","Est'","Net","Otdel'naya","Proizveden","Lodjiya",59.99406545,30.3089731,2005
"2016-07-26","gorod Sankt-Peterburg","Невский","Большевиков пр., 63","Dybenko ul.",2970,"2",25000,"12 mes.","","Panel'nyi",47,32,7,1,"5","Net","Garnitur Sovr.","","Proizveden","",59.880729,30.4839329,
"2017-07-14","gorod Sankt-Peterburg","Московский","Бассейная ул., 89","Park Pobedy",840,"1",28000,"11 mes.","","Kirpichnyi",54,25,15,5,"6","Net","Sbor.+kuh.garn.","","Ne trebuetsya","Balkon",59.865117,30.354693,
"2016-03-12","gorod Sankt-Peterburg","Кировский","Лени Голикова ул. 17","Veteranov pr.",1280,"2",25000,"","","",42,27,6,3,"5","Net","Net","","","",,,
"2017-04-07","gorod Sankt-Peterburg","Центральный","Чернышевского пр., 4","",,"2",55000,"11 mes.","Da","Monolit",61,36,12,3,"8","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Balkon",59.94875,30.3600568,2015
"2016-09-06","gorod Sankt-Peterburg","Василеостровский","Волховский пер., 4","Vasileostrovskaya",750,"3",150000,"11 mes.","","Kirp.Monolit",140,52,47,7,"7","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Lodjiya",59.944803,30.2908285,2008
"2017-06-04","gorod Sankt-Peterburg","Красногвардейский","Индустриальный пр., 40к1","Ladojskaya",2890,"1",22000,"11 mes.","","Kirpichnyi",40,18,10,5,"12","Est'","Sbornaya Sovr.","Sovmeshchennaya","Evrostandart","Balkon",59.954547,30.466713,2004
"2017-06-04","gorod Sankt-Peterburg","Центральный","Фурштатская ул., 28","Chernyshevskaya",230,"1",40000,"6 mes.","","Kirpichnyi",38,25,5,3,"4","Net","Sbor.+kuh.garn.","","","",59.945679,30.3564545,
"2017-07-07","gorod Sankt-Peterburg","Невский","Бадаева ул., 6","Bol'shevikov pr.",950,"1",24000,"11 mes.","","Kirpichnyi",48,23,13,13,"18","Est'","","","","Balkon",59.917287,30.450554,
"2016-06-16","gorod Sankt-Peterburg","Калининский","Верности ул., 38к3","Akademicheskaya",1990,"1",18000,"6 mes.","","Brejnevka",31,16,7,3,"5","Est'","Sbornaya Sovr.","Otdel'naya","Proizveden","Balkon",60.002469,30.4252946,1975
"2017-01-12","Leningradskaya oblast'","Всеволожский","р-н Кудрово дер. Строителей пр., 6","Dybenko ul.",2230,"1",30000,"11 mes.","","Kirpichnyi",44,20,13,21,"21","Est'","","","","Balkon",,,
"2016-11-25","Leningradskaya oblast'","Всеволожский","р-н Кудрово дер. Европейский пр., 14к6","Dybenko ul.",700,"1",19000,"11 mes.","","Kirp.Monolit",36,15,9.5,17,"25","Net","","","","",,,
