"Date_entry","Region","District_ad","Address","Metro","Dist_metro_ad","Rooms","Price","Minimum_duration","No_agents","Building","Area_total","Area_living","Area_kitchen","Floor","NFloor","Lift","Furnished","Bath","Refurbished","Balcony","Latitude","Longitude","Year_construction"
"2014-09-04","Leningradskaya oblast'","Всеволожский","р-н Кудрово дер., Ленинградская ул. 5","Dybenko ul.",1660,"1",20000,"31 mes.","","Panel'nyi",35,20,10,7,"14","Net","","","","Balkon",,,
"2017-03-14","gorod Sankt-Peterburg","Приморский","Мебельная ул., 49","Staraya Derevnya",470,"2",55000,"6 mes.","","Monolit",51,15,19,17,"23","Net","Sbor.+kuh.garn.","","Proizveden","Lodjiya",59.993581,30.193423,
"2017-04-07","gorod Sankt-Peterburg","Петроградский","Лодейнопольская ул., 2","Chkalovskaya",420,"2",35000,"11 mes.","","Kirpichnyi",45,30,6,2,"5","Net","","Dush","Proizveden","Balkon",59.96418,30.2886182,1980
"2015-09-29","gorod Sankt-Peterburg","Центральный","Шпалерная ул. 60","Chernyshevskaya",1170,"3",130000,"","","",100,86,12,5,"9","Net","Sbornaya Sovr.","","","",,,
"2016-02-10","gorod Sankt-Peterburg","Московский","Обводного канала наб. 46","Obvodnyi Kanal",1550,"1",30000,"","","",40,17,14,2,"7","Net","Sbornaya Sovr.","","Evrostandart","",,,
"2017-04-23","gorod Sankt-Peterburg","Невский","Обуховской Обороны пр., 195","Proletarskaya",30,"2",40000,"11 mes.","","Individual'nyi proekt",70,45,,4,"24","Net","","","","",59.869251,30.4578136,
"2016-03-30","gorod Sankt-Peterburg","Василеостровский","Новосмоленская наб. 1","Primorskaya",280,"1",25000,"14 mes.","","Kirpichnyi",40,20,10,4,"16","Est'","Tol'ko kuhnya","Otdel'naya","Proizveden","Balkon",,,
"2015-05-05","gorod Sankt-Peterburg","Калининский","Тимуровская ул. 26к.2","Grajdanskii pr.",1070,"1",18000,"11 mes.","","Korabl'",33,17,6,4,"9","Net","","","","Net",,,
"2016-07-21","gorod Sankt-Peterburg","Московский","Орджоникидзе ул., 26","Moskovskaya",90,"1",24000,"1 mes.","","Monolit",38,,,3,"5","Net","","","","",59.844811,30.331756,
"2016-11-29","gorod Sankt-Peterburg","Невский","Тельмана ул., 48к4","Dybenko ul.",1400,"1",18000,"11 mes.","","121(Gatchinskaya)",41,41,9,7,"10","Est'","Sbor.+kuh.garn.","Otdel'naya","Proizveden","Zasteklennaya lodjiya",59.894892,30.484367,1997
"2017-04-28","gorod Sankt-Peterburg","Невский","Ворошилова ул., 31к1","Bol'shevikov pr.",1420,"2",28000,"11 mes.","","Kirpichnyi",57,35,14,13,"19","Est'","","Dush","Evrostandart","Lodjiya",59.932612,30.463403,2012
"2017-04-03","gorod Sankt-Peterburg","Пушкинский","р-н Детскосельский Колпинское ш., 10к5","Kupchino",12010,"1",17000,"11 mes.","","Kirpichnyi",36,17,9,3,"6","Net","Garnit+kuh.nab.","Sovmeshchennaya","Evrostandart","Lodjiya",,,
"2016-09-01","gorod Sankt-Peterburg","Петроградский","Аптекарский пр., 18","Petrogradskaya",50,"3",67000,"","","Kirp.Monolit",72,46,6,4,"10","Est'","","","Proizveden","Lodjiya",59.970846,30.3192712,
"2017-02-17","gorod Sankt-Peterburg","Невский","Обуховской Обороны пр., 195","Proletarskaya",30,"1",30000,"","","Monolit",47,20,12,7,"23","Net","Sbor.+kuh.garn.","","Evrostandart","3 lodjii",59.869251,30.4578136,
"2017-05-04","gorod Sankt-Peterburg","Московский","Пулковская ул., 6","Zvezdnaya",670,"1   (studiya)",19000,"11 mes.","Da","Kirpichnyi",27,27,,7,"23","Est'","Sbornaya Sovr.","Sovmeshchennaya","Proizveden","Lodjiya",59.83928,30.349819,
"2016-11-01","gorod Sankt-Peterburg","Приморский","3-я Линия 1-й половины, 33","Udel'naya",940,"4",2e+05,"11 mes.","","Monolit",250,130,18,5,"5","Est'","","","","",60.016213,30.298845,
"2016-08-01","gorod Sankt-Peterburg","Петроградский","Аптекарский пр.","Petrogradskaya",50,"2",86000,"","","Monolit",68.5,48,,7,"10","Net","","","","",59.970846,30.3192712,
"2016-08-19","gorod Sankt-Peterburg","Василеостровский","Большой пр., 50","Vasileostrovskaya",1000,"4",80000,"11 mes.","","Staryi fond",220,101,50,3,"7","Net","Sbornaya Sovr.","","Evrostandart","Balkon",59.934723,30.2694565,
"2016-11-29","gorod Sankt-Peterburg","Петроградский","Вяземский пер., 6","Petrogradskaya",970,"1",30000,"11 mes.","","Kirpichnyi",36,20,9,1,"7","Net","Garnitur Sovr.","Otdel'naya","Ne trebuetsya","",59.973118,30.299938,
"2017-05-01","gorod Sankt-Peterburg","Центральный","Чехова ул., 7","Mayakovskaya",750,"3",50000,"","","Kirpichnyi",90,61,9,1,"6","Net","Sbor.+kuh.garn.","","","",59.937352,30.3535556,
"2016-05-24","gorod Sankt-Peterburg","Фрунзенский","Турку ул., 22к5","Mejdunarodnaya",1200,"2",27000,"12 mes.","Da","Hrushchevka",,47,32,," kv.m.","","Est'","Est'","Otdel'naya","est'",59.870868,30.4006918,
"2016-02-20","gorod Sankt-Peterburg","Московский","Юрия Гагарина пр. 7","Park Pobedy",1050,"2",50000,"31 mes.","","Monolit",70,39,14,7,"12","Net","","","","",,,
"2017-04-25","gorod Sankt-Peterburg","Московский","Витебский пр., 23к1","Park Pobedy",990,"1",17000,"","","",31,17,6,5,"5","Net","Sbor.+kuh.garn.","","Ne trebuetsya","Balkon",59.863049,30.3568004,
"2016-05-28","gorod Sankt-Peterburg","Калининский","Кондратьевский пр., 70","Lenina pl.",3660,"1 (studiya)",20000,"11 mes.","","Monolit",,35,,,"","","Est'","Est'","","est'",59.983635,30.397869,
"2017-01-12","gorod Sankt-Peterburg","Приморский","Комендантский пр., 28к1","Komendantskii pr.",770,"2",23000,"11 mes.","","Kirpichnyi",50,31,8,7,"17","Est'","Sbor.+kuh.garn.","Otdel'naya","Ne trebuetsya","Lodjiya",60.01401594,30.25050921,
"2017-07-19","gorod Sankt-Peterburg","Калининский","Маршала Блюхера пр., 9к3","Vyborgskaya",3940,"1   (studiya)",19000,"11 mes.","","Monolit",25,18,4,13,"14","Est'","","","","Balkon",59.976264,30.41736,
"2016-03-29","gorod Sankt-Peterburg","Петроградский","Депутатская ул. 26","Krestovskii ostrov",690,"3",160000,"","","",135,88,12,4,"9","Net","Sbornaya Sovr.","","","",,,
"2016-08-15","gorod Sankt-Peterburg","Московский","Космонавтов пр., 27","Moskovskaya",1860,"2",22000,"12 mes.","Da","Stalinskii",50,34,7,5,"5","Net","Sbornaya Sovr.","Otdel'naya","Proizveden","Balkon",59.85915,30.3477576,
"2016-04-08","gorod Sankt-Peterburg","Московский","Московский пр. 73к.5","",,"1",38000,"","","",39,,,10,"11","Net","Net","","","",59.885441,30.3197282,
"2017-05-19","gorod Sankt-Peterburg","Красносельский","Катерников ул., 7","Leninskii pr.",6410,"1   (studiya)",20000,"11 mes.","","Kirp.Monolit",30,24,,9,"20","Est'","","Sovmeshchennaya","Evrostandart","Zasteklennyi balkon",59.85192668,30.15484803,2016
"2017-06-28","gorod Sankt-Peterburg","Василеостровский","Беринга ул., 5","Vasileostrovskaya",830,"1",40000,"11 mes.","","Kirpichnyi",40,20,10,7,"9","Est'","Sbornaya Sovr.","Sovmeshchennaya","Evrostandart","Zasteklennyi balkon",59.936525,30.247704,2015
"2017-05-01","gorod Sankt-Peterburg","Петроградский","Барочная ул., 12","Chkalovskaya",1060,"4",130000,"","","Monolit",103,43,19,2,"12","Est'","","","","",59.969957,30.287637,
"2016-06-14","gorod Sankt-Peterburg","Московский","Орджоникидзе ул., 7","Moskovskaya",760,"2",22000,"","","Hrushchevka",45,30,6,5,"5","Est'","","Otdel'naya","","Balkon",59.843651,30.3281706,1963
"2017-07-04","gorod Sankt-Peterburg","Василеостровский","Нахимова ул., 20","Primorskaya",110,"1",32000,"11 mes.","","Kirpichnyi",40,20,12,14,"17","Est'","Sbor.+kuh.garn.","","","Balkon",59.940192,30.223575,
"2017-04-28","gorod Sankt-Peterburg","Невский","Подвойского ул., 26","Dybenko ul.",900,"1",25000,"11 mes.","Da","Kirpichnyi",37,17,9,16,"17","Est'","Sbornaya Sovr.","Sovmeshchennaya","Evrostandart","Zasteklennyi balkon",59.915365,30.4795917,
"2016-05-18","gorod Sankt-Peterburg","Приморский","Комендантский пр., 53к1","Komendantskii pr.",2750,"1",23000,"","","",,42,16,,"1 kv.m.","","Net","Est'","","est'",60.030087,30.234849,
"2017-06-26","gorod Sankt-Peterburg","Петроградский","Крестовский пр., 13","",,"2",175000,"11 mes.","Da","Monolit",114,50,25,10,"16","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Lodjiya",59.969805,30.2619032,2000
"2016-04-07","gorod Sankt-Peterburg","Петроградский","Лизы Чайкиной ул. 22","Gor'kovskaya",800,"4",140000,"","","",134,40,42,2,"5","Net","Sbornaya Sovr.","","","",59.955517,30.3044719,
"2017-05-01","gorod Sankt-Peterburg","Красногвардейский","Энтузиастов пр., 44","Ladojskaya",3470,"3",28000,"11 mes.","","137 seriya",71,45,10,7,"9","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Lodjiya",59.951582,30.4885387,
"2017-03-10","gorod Sankt-Peterburg","Выборгский","Парголово, Федора Абрамова ул., 19","Parnas",1350,"1",13000,"11 mes.","","Kirp.Monolit",38,18,10,24,"26","Est'","","","","Balkon",60.078773,30.344695,
"2016-06-30","gorod Sankt-Peterburg","Красносельский","Адмирала Черокова ул., 20","Veteranov pr.",6290,"1 (studiya)",18000,"11 mes.","","Kirpichnyi",25,,,15,"18","Est'","Sbor.+kuh.garn.","Sovmeshchennaya","Evrostandart","Lodjiya",59.853893,30.139814,
"2016-11-29","gorod Sankt-Peterburg","Невский","Бабушкина ул., 111","Proletarskaya",970,"1",20000,"11 mes.","","Monolit",33,18,7,2,"8","Est'","Garnit+kuh.nab.","Otdel'naya","Proizveden","",59.86447,30.4528936,
"2017-07-23","gorod Sankt-Peterburg","Центральный","Лиговский пр., 166","Obvodnyi Kanal",10,"1",35000,"11 mes.","","Kirpichnyi",46,16,12,6,"6","Est'","Sbor.+kuh.garn.","","","",59.91883,30.3528491,
"2017-05-13","gorod Sankt-Peterburg","Выборгский","Просвещения пр., 76","Grajdanskii pr.",3490,"2",26000,"11 mes.","","Kirpichnyi",46,29,8,10,"12","Est'","Sbor.+kuh.garn.","Otdel'naya","Evrostandart","Zasteklennaya lodjiya",60.047619,30.3606362,
"2016-05-31","gorod Sankt-Peterburg","Центральный","Марата ул., 80","Zvenigorodskaya",440,"5",85000,"","","Kirpichnyi",,179,124,,"2 kv.m.","","Est'","Est'","","est'",59.919658,30.341767,
"2016-11-08","gorod Sankt-Peterburg","Фрунзенский","Малая Бухарестская ул., 6к1","Kupchino",140,"2",28000,"","","",56,30.5,11,6,"12","Net","","","","",59.850319,30.412502,
"2017-05-24","gorod Sankt-Peterburg","Фрунзенский","Будапештская ул., 40","Mejdunarodnaya",180,"2",23000,"11 mes.","","Panel'nyi",47,30,8,3,"5","Net","Sbornaya Sovr.","Otdel'naya","Proizveden","Balkon",59.859628,30.3776506,
"2017-06-29","gorod Sankt-Peterburg","Центральный","Ковенский пер., 5","Mayakovskaya",670,"5",340000,"11 mes.","","Kirp.Monolit",236,181,,5,"5","Est'","Sbornaya Sovr.","Otdel'naya","Evrostandart","",59.937205,30.3564779,2012
"2016-11-28","gorod Sankt-Peterburg","Выборгский","Тореза пр., 40к3","Mujestva pl.",1170,"2",20000,"11 mes.","Da","Kirpichnyi",42,29,6,3,"5","Net","Sbor.+kuh.garn.","Otdel'naya","Ne trebuetsya","Net",60.006462,30.35039,
"2016-10-19","gorod Sankt-Peterburg","Адмиралтейский","Лермонтовский пр., 17","Sadovaya",650,"1",25000,"11 mes.","Da","Staryi fond",38,21,7,4,"4","Net","Sbornaya Sovr.","Sovmeshchennaya","Evrostandart","",59.920265,30.2941312,
"2013-10-14","gorod Sankt-Peterburg","Петроградский","Барочная ул., 12","Petrogradskaya",380,"2",80000,"","","Kirp.Monolit",60,37,1,3,"11","Est'","","","","Balkon",59.969957,30.287637,
"2017-04-26","gorod Sankt-Peterburg","Выборгский","Парголово, Николая Рубцова ул., 11к1","Parnas",70,"1",21000,"11 mes.","","Kirp.Monolit",37,20,10,15,"16","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Net",60.077466,30.338201,
"2017-02-27","gorod Sankt-Peterburg","Центральный","Невский пр., 135","A.Hevskogo pl.",560,"4",120000,"","","Kirpichnyi",118,80,10,7,"7","Est'","","","Proizveden","",59.926362,30.3759782,
"2016-05-18","gorod Sankt-Peterburg","Приморский","Фермское ш., 10","Udel'naya",560,"3",75000,"","","",,100,65,,"","","Net","Est'","","est'",60.012192,30.311457,
"2017-03-28","gorod Sankt-Peterburg","Кировский","Народного Ополчения пр., 10","Leninskii pr.",80,"1   (studiya)",18000,"6 mes.","Da","Kirpichnyi",28,18,,4,"25","Est'","Garnit+kuh.nab.","Sovmeshchennaya","Evrostandart","Lodjiya",59.850033,30.281364,2013
"2016-11-19","gorod Sankt-Peterburg","Петроградский","Зверинская ул., 22","Sportivnaya",530,"2",85000,"11 mes.","","Individual'nyi proekt",87,36,15,5,"8","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Zasteklennaya lodjiya",59.953316,30.2996429,
"2017-02-25","gorod Sankt-Peterburg","Красногвардейский","Ковалевская ул., 22","Ladojskaya",6500,"1",10000,"11 mes.","","Kirpichnyi",30,16.5,5.5,1,"2","Net","Sbornaya 70-80","Otdel'naya","Proizveden","Net",59.978098,30.5121229,
"2017-01-11","gorod Sankt-Peterburg","Приморский","Ушаковская наб., 9к1","Chernaya rechka",610,"2",30000,"11 mes.","","Stalinskii",52,33,8,3,"6","Est'","","","","Balkon",59.982811,30.31037,
"2016-03-21","Leningradskaya oblast'","Всеволожский","р-н Новое Девяткино дер., Арсенальная ул. 1","",,"1",20000,"11 mes.","","Monolit",39,,7,15,"16","Est'","Sbornaya Sovr.","Otdel'naya","Evrostandart","",,,
"2017-06-20","Leningradskaya oblast'","Всеволожский","р-н Мурино пос., Воронцовский бул., 2","Devyatkino",1230,"1   (studiya)",20000,"11 mes.","","Monolit",27,27,27,5,"17","Est'","","","","Balkon",,,
"2016-03-17","gorod Sankt-Peterburg","Центральный","Греческий пр. 11","Vosstaniya pl.",510,"1",27000,"","","",27,27,1,1,"6","Net","Sbornaya Sovr.","","","",,,
"2017-02-10","gorod Sankt-Peterburg","Калининский","Суздальский пр., 89","Grajdanskii pr.",1310,"1",17000,"11 mes.","Da","Monolit",36,19,7,7,"16","Est'","Sbornaya Sovr.","","Proizveden","Balkon",60.04613847,30.41026456,
"2017-05-15","Leningradskaya oblast'","Всеволожский","р-н Мурино пос., Воронцовский бул., 6","Devyatkino",1250,"1   (studiya)",15000,"11 mes.","","Kirp.Monolit",26,20,6,14,"22","Net","","","","",,,
"2017-02-06","gorod Sankt-Peterburg","Невский","Рыбацкий пр., 18к2","Rybackoe",1220,"1",21000,"11 mes.","Da","Kirp.Monolit",50,18,,17,"26","Est'","Sbornaya Sovr.","Otdel'naya","Proizveden","Lodjiya",59.841545,30.503724,
"2016-02-24","gorod Sankt-Peterburg","Невский","Союзный пр. 4","Bol'shevikov pr.",1570,"1",25000,"","","",30,20,1,7,"15","Net","Sbornaya Sovr.","","","",,,
"2017-01-29","gorod Sankt-Peterburg","Петроградский","Медиков пр., 10","Petrogradskaya",1070,"1",40000,"","","Kirp.Monolit",44,18,12,2,"13","Est'","","","Proizveden","",59.975805,30.3168391,
"2016-09-19","gorod Sankt-Peterburg","Центральный","Большая Конюшенная ул.","Nevskii pr.",0,"2",60000,"12 mes.","","Staryi fond",90,50,15,3,"5","Net","Sbornaya Sovr.","Otdel'naya","Evrostandart","",59.940728,30.3282269,
"2017-02-15","gorod Sankt-Peterburg","Кировский","Ленинский пр., 96к2","Leninskii pr.",1200,"3",30000,"11 mes.","","137 seriya",65,44,9,8,"12","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Zasteklennaya lodjiya",59.8519,30.2480217,
"2017-05-01","gorod Sankt-Peterburg","Петроградский","Морской пр., 33","Krestovskii ostrov",80,"3",170000,"","","Monolit",124,63,15,3,"7","Est'","","","","",59.971609,30.261026,
"2016-09-30","gorod Sankt-Peterburg","Выборгский","Пархоменко пр., 18","Pionerskaya",2240,"1",22000,"11 mes.","","Hrushchevka",36,17,6,2,"5","Net","Minimum","Sovmeshchennaya","Proizveden","",60.0002,30.336736,
"2017-01-30","gorod Sankt-Peterburg","Невский","Дыбенко ул., 21к1","Dybenko ul.",770,"1",25000,"11 mes.","","Blochnyi",30,16,6,2,"9","Est'","Garnitur Sovr.","","Evrostandart","Net",59.902116,30.47471016,
"2017-05-01","gorod Sankt-Peterburg","Красносельский","Пограничника Гарькавого ул., 38к2","Veteranov pr.",730,"1",20000,"","","Panel'nyi",33,17,6,3,"3","Net","Sbor.+kuh.garn.","","","Balkon",59.831611,30.1497017,
"2017-07-04","gorod Sankt-Peterburg","Приморский","Парашютная ул., 25к1","Komendantskii pr.",310,"2",35000,"11 mes.","","Kirp.Monolit",65,41,13,9,"16","Est'","Sbor.+kuh.garn.","","","Balkon",60.019045,30.269672,
"2016-11-16","gorod Sankt-Peterburg","Невский","Коллонтай ул., 29к1","Bol'shevikov pr.",790,"1",27000,"11 mes.","","Blochnyi",42,19,12,9,"13","Est'","Garnit+kuh.nab.","Sovmeshchennaya","Evrostandart","Balkon",59.921367,30.480641,
"2017-07-23","gorod Sankt-Peterburg","Адмиралтейский","Московский пр., 73","Frunzenskaya",160,"1",40000,"6 mes.","","Monolit",39,17,10,10,"19","Net","","","","",59.904888,30.318006,
"2017-06-14","gorod Sankt-Peterburg","Выборгский","Тореза пр., 39","Mujestva pl.",1450,"3",30000,"11 mes.","","Kirpichnyi",80,52,10,2,"12","Est'","","","","",60.009737,30.349914,
"2017-01-29","gorod Sankt-Peterburg","Выборгский","Лесной пр., 61к1","Lesnaya",120,"4",62000,"","","Kirpichnyi",95,70,12,5,"8","Est'","","","Proizveden","Balkon",59.983894,30.34304,
"2015-10-21","gorod Sankt-Peterburg","Выборгский","Парголово, Валерия Гаврилина ул. 5","Parnas",710,"1",19000,"31 mes.","","Kirp.Monolit",37,18,11,10,"24","Net","","","","",,,
"2017-05-01","gorod Sankt-Peterburg","Центральный","Островского пл., 9","Gostinyi Dvor",20,"2",50000,"","","Kirp.Monolit",50,33,8,1,"5","Net","Sbor.+kuh.garn.","","","Net",59.931453,30.3345127,
"2016-11-01","gorod Sankt-Peterburg","Василеостровский","Смоленки р. наб., 35","Primorskaya",1000,"3",99000,"","","Kirp.Monolit",96,52,17,9,"13","Est'","","","Proizveden","Lodjiya",59.948163,30.252285,
"2016-03-17","gorod Sankt-Peterburg","Центральный","Кирочная ул. 64","Chernyshevskaya",1520,"3",140000,"","","",110,82,12,2,"9","Net","Sbornaya Sovr.","","","",,,
"2017-04-01","gorod Sankt-Peterburg","Приморский","Савушкина ул., 115к1","Staraya Derevnya",1230,"3",30000,"11 mes.","","600.11 seriya",68,39,8.3,3,"6","Est'","Minimum","Otdel'naya","Ne trebuetsya","Zasteklennaya lodjiya",59.984939,30.234966,1990
"2017-03-07","gorod Sankt-Peterburg","Петроградский","Крестовский пр., 13","Krestovskii ostrov",260,"2",80000,"11 mes.","","Kirp.Monolit",90,17,40,3,"6","Est'","","","","Balkon",59.969805,30.2619032,
"2016-02-01","gorod Sankt-Peterburg","Кировский","Народного Ополчения пр. 10","Leninskii pr.",680,"1",25000,"","","",40,15,8,9,"25","Net","Sbornaya Sovr.","","","",,,
"2017-06-30","gorod Sankt-Peterburg","Петроградский","Большая Монетная ул., 23","Gor'kovskaya",90,"3",59000,"11 mes.","","Kirpichnyi",100,47,25,3,"7","Net","Sbor.+kuh.garn.","","Proizveden","Net",59.962129,30.322453,
"2016-02-10","gorod Sankt-Peterburg","Красносельский","Петергофское ш. 11","Avtovo",4470,"1",17000,"12 mes.","","Korabl'",35,18,7,7,"9","Est'","Sbornaya Sovr.","Otdel'naya","Proizveden","",,,
"2017-04-03","gorod Sankt-Peterburg","Красногвардейский","Маршала Блюхера пр., 47","Ladojskaya",4780,"1",16000,"11 mes.","","Kirp.Monolit",35,18,7,2,"12","Est'","Garnit+kuh.nab.","Otdel'naya","Proizveden","Balkon",59.973927,30.417223,
"2017-05-26","gorod Sankt-Peterburg","Московский","Витебский пр., 101к4","Kupchino",180,"1",30000,"11 mes.","","Monolit",42,20,10,12,"25","Est'","Garnitur Sovr.","Sovmeshchennaya","Evrostandart","Lodjiya",59.830196,30.3732166,
"2017-01-26","gorod Sankt-Peterburg","Выборгский","Художников пр., 10","Ozerki",1190,"2",30000,"11 mes.","Da","Monolit",65,10,,11,"22","Est'","Sbornaya Sovr.","","Evrostandart","Zasteklennaya lodjiya",60.036434,30.34332166,
"2017-07-18","gorod Sankt-Peterburg","Московский","Пулковская ул., 6к3","Zvezdnaya",620,"1",25000,"11 mes.","Da","Kirpichnyi",40,18,11,6,"15","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Zasteklennaya lodjiya",59.838859,30.350763,
"2017-07-17","gorod Sankt-Peterburg","Выборгский","Учебный пер., 2","Ozerki",740,"2",30000,"11 mes.","","Kirp.Monolit",60,29,12,7,"21","Est'","","","","Zasteklennaya lodjiya",60.039883,30.333888,
"2017-02-17","Leningradskaya oblast'","Всеволожский","р-н Кудрово дер. Ленинградская ул., 5","Dybenko ul.",1660,"2",28000,"11 mes.","","Kirpichnyi",52,32,10,17,"17","Est'","Sbornaya Sovr.","Dush","Ne trebuetsya","Lodjiya",,,
"2017-02-27","gorod Sankt-Peterburg","Красносельский","Добровольцев ул.","Avtovo",6040,"1",18000,"11 mes.","","Korabl'",32,18,7,12,"12","Est'","Minimum","Otdel'naya","Proizveden","Balkon",59.83974533,30.16808127,
"2016-05-10","gorod Sankt-Peterburg","Центральный","Миллионная ул., 23","Admiralteiskaya",870,"1",70000,"11 mes.","Da","Kirpichnyi",70,15,30,4,"4","Net","Sbornaya Sovr.","Sovmeshchennaya","Evrostandart","",59.943157,30.321009,
"2017-05-13","gorod Sankt-Peterburg","Курортный","р-н Сестрорецк г., Всеволода Боброва ул., 27","Staraya Derevnya",5820,"3",55000,"1 mes.","","Monolit",91,57,11,1,"4","Net","Sbor.+kuh.garn.","","Proizveden","Terrasa",,,
"2016-06-29","gorod Sankt-Peterburg","Приморский","Коломяжский пр., 15к2","Pionerskaya",200,"1",25000,"2000 mes.","","Kirpichnyi",50,,,19,"25","Est'","","","","",60.001371,30.299422,
"2017-05-01","gorod Sankt-Peterburg","Московский","Бассейная ул., 10","Park Pobedy",610,"2",55000,"","","Monolit",76,50,10,14,"16","Net","","","","",59.866423,30.310838,
"2017-06-28","gorod Sankt-Peterburg","Калининский","Тихорецкий пр., 8","Politehnicheskaya",1210,"1",20000,"11 mes.","","Hrushchevka",35,20,7,2,"5","Net","Garnit+kuh.nab.","Sovmeshchennaya","Ne trebuetsya","Zasteklennyi balkon",60.019683,30.3671461,
"2015-04-12","gorod Sankt-Peterburg","Приморский","Сердобольская ул., 27","Chernaya rechka",110,"2",32000,"","","Stalinskii",60,38,10,3,"5","Net","","","","Balkon",59.990318,30.318177,
"2017-02-13","gorod Sankt-Peterburg","Василеостровский","Морская наб., 35к6","Primorskaya",1260,"1",35000,"11 mes.","Da","Kirp.Monolit",50,20,16,4,"16","Est'","Sbornaya Sovr.","Otdel'naya","Evrostandart","Zasteklennaya lodjiya",59.958078,30.221963,
"2016-06-27","gorod Sankt-Peterburg","Приморский","Шуваловский пр., 41","Komendantskii pr.",2580,"1",24000,"12 mes.","","Kirp.Monolit",43,20,10,22,"24","Est'","Sbornaya Sovr.","Otdel'naya","Evrostandart","Balkon",60.030074,30.241694,
"2017-01-29","gorod Sankt-Peterburg","Центральный","Пушкинская ул., 9","Mayakovskaya",310,"2",50000,"","","Kirpichnyi",46,28,3,3,"5","Net","","","","",59.929581,30.3567052,
"2016-10-17","gorod Sankt-Peterburg","Московский","Дунайский пр., 7к7","Zvezdnaya",1220,"1",34000,"11 mes.","","Kirpichnyi",40,16,15.5,2,"14","Est'","Sbornaya Sovr.","Otdel'naya","Evrostandart","",59.826275,30.3325,
"2016-08-24","gorod Sankt-Peterburg","Невский","Искровский пр., 4к3","Bol'shevikov pr.",610,"3",30000,"11 mes.","","Panel'nyi",56,42,7,5,"9","Est'","Sbor.+kuh.garn.","Dush","Evrostandart","2 lodjii",59.914795,30.4631131,
"2016-12-20","gorod Sankt-Peterburg","Пушкинский","р-н Пушкин г. Магазейная ул.","Carskoe selo",1230,"1",16,"11 mes.","","Brejnevka",33,18,6,5,"5","Net","Minimum","Otdel'naya","Proizveden","Erker",,,
"2017-02-27","gorod Sankt-Peterburg","Московский","Московский пр., 157","Park Pobedy",490,"3",55000,"","","Kirpichnyi",84,60,10,6,"6","Est'","","","","",59.870587,30.319704,
"2016-11-11","gorod Sankt-Peterburg","Центральный","Коломенская ул.","Ligovskii pr.",320,"1",24000,"11 mes.","","Staryi fond",40,18,12,3,"4","Net","Sbornaya Sovr.","Otdel'naya","Proizveden","",59.92372,30.353606,
"2015-05-20","gorod Sankt-Peterburg","Петроградский","Константиновский пр., 23","Krestovskii ostrov",20,"3",450000,"","","Kirp.Monolit",135,85,1,4,"7","Est'","","","","Balkon",59.973308,30.2685168,
"2017-05-11","gorod Sankt-Peterburg","Василеостровский","Весельная ул., 8","Primorskaya",2200,"1",20000,"11 mes.","","Kirpichnyi",35,20,8,8,"9","Est'","Sbor.+kuh.garn.","Sovmeshchennaya","Ne trebuetsya","Zasteklennaya lodjiya",59.929286,30.2436091,
"2017-02-16","gorod Sankt-Peterburg","Красносельский","Героев пр., 26","Leninskii pr.",6090,"1",18000,"11 mes.","","Monolit",42,20,14,14,"17","Est'","Garnitur Sovr.","","Evrostandart","Zasteklennaya lodjiya",59.86112258,30.16226458,
"2016-08-01","gorod Sankt-Peterburg","Приморский","Фермское ш.","Udel'naya",30,"2",43000,"","","Monolit",47,33,,10,"10","Net","","","","",60.017451,30.3118936,
"2016-05-31","gorod Sankt-Peterburg","Адмиралтейский","Казанская ул., 58","Sadovaya",760,"4",110000,"","","Kirp.Monolit",,115,90,," kv.m.","","Est'","Est'","","est'",59.927121,30.306786,
"2017-03-02","gorod Sankt-Peterburg","Центральный","Восстания ул., 6","Vosstaniya pl.",200,"3",1e+05,"11 mes.","Da","Monolit",108,63,14,5,"9","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Balkon",59.933254,30.3594352,
"2015-12-22","Leningradskaya oblast'","Всеволожский","р-н Лесное пос.","Prosveshcheniya pr.",37630,"1",12000,"1 mes.","","Kirpichnyi",37,17,10,5,"5","Net","Minimum","","","",,,
"2017-04-04","gorod Sankt-Peterburg","Фрунзенский","Южное ш., 55","Mejdunarodnaya",220,"1",24000,"","","Kirpichnyi",40,16,11,2,"26","Est'","Sbor.+kuh.garn.","","","Balkon",59.857718,30.4101913,
"2017-05-31","gorod Sankt-Peterburg","Калининский","Тимуровская ул., 10к1","Grajdanskii pr.",1700,"1",16000,"11 mes.","","Kirpichnyi",32,17,7,4,"5","Net","","","","Net",60.046394,30.397672,
"2016-10-17","gorod Sankt-Peterburg","Московский","Московский пр., 139к2","Elektrosila",0,"1",39000,"11 mes.","","Kirpichnyi",60,20,15,7,"15","Est'","Sbornaya Sovr.","Sovmeshchennaya","Evrostandart","Lodjiya",59.87952,30.317117,2015
